ID	EquipmentID	Problem	A	B	C	D	Answer
int	int	string	string	string	string	string	string
ID	装备ID	问题	选项A	选项B	选项C	选项D	答案
1	1001	门式起重机可按门框结构形式分类，可分为（）和悬臂门式起重机	双主梁门式起重机	水电站龙门起重机	门式起重机	全门式起重机	C
2	1001	门式起重机用代号、额定起质量、（）、工作级别4个主要要素特征表示型号。	名称	跨度	重量	数量	B
3	1002	公铁两用车早期主要用于（）。现代主要承担（）及沿线的检修、救援等应急任务	军事	铁路线路	公路线路	水路线路	AB
4	1002	在干燥轨面上，胶轮与铁轨的摩擦系数在（），但在雨雪天气，衰减严重。	0.5-0.7	0.4-0.6	0.5-0.6	0.3-0.4	B
5	1003	由于集装箱跨运车具有（）、（）、（）、（）等特点，得到普遍的应用。集装箱跨运车作业对提高码头前沿设备的装卸效率十分有利。	机动灵活	效率高	稳定性好	轮压低	ABCD
6	1003	集装箱跨运车按其车体结构型式可分三种（ ）	无平台及跨运和装卸共用结构的集装箱跨运车	有平台及跨运和装卸共用结构的集装箱跨运车	有平台及跨运和装卸专用结构的集装箱跨运车无平台及跨运和装卸共用结构型式的集装箱跨运车	无平台及跨运和有装卸共用结构的集装箱跨运车	ABC
7	1004	"集装箱堆高机机动灵活,性能可靠,可一机多用，用于（）"	水平运输	堆场堆码	装卸搬运	拆装箱作业	ABCD
8	1004	"堆码高度取决于起重系统的（）,作业生产率取决于起重系统的（）。"	下降和起升速度	最大起升高度	起升和下降速度	起升高度	BC
9	1005	集装箱按制造材料可分成三种，有钢制装箱、（）、玻璃钢集装箱	干货集装箱	铝合金集装箱	散货集装箱	液体货集装箱	B
10	1005	集装箱按结构可分为三类，有（）、折叠式集装箱、薄壳式集装箱。	冷冻集装箱	挂衣集装箱	开顶集装箱	固定式集装箱	D
11	1006	按传感器类型可分为数字式地磅和（）	工字钢地磅	T型梁地磅	L梁钢地磅	模拟式地磅	D
12	1006	汽车衡标准配置主要由（）、（）、（）三大主件组成（）	承重传力机构(秤体)	高精度称重传感器	称重显示仪表	连接器	ABC
13	1007	轨道衡有几种类型（）	2	3	4	5	B
14	1007	用于称重静止状态货车载重的轨道衡。有几类（）	2	3	4	5	B
15	1008	"集装箱专用平车可在中国（）线路上运行，是可装运国际标准集装箱的专用车辆。"	窄轨	标准轨距	宽轨	加宽轨	ABCD
16	1008	"普通集装箱专用平车的装箱方式确定为可装载（）箱或1个40ft箱，与我国现有绝大多数货车可以混编、联挂。"	8个5ft	4个10ft	2个20ft	1个20ft	B
17	1009	正面吊是由工程机械底盘，伸缩臂架、（）组成	发动机	转向系统	集装箱吊具	动力换档变速箱	C
18	1009	与叉车相比，正面吊的优点（）	机动灵活	操作方便	稳定性好	轮压较底	ABCD
